City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Jega,NG,84.63,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
208,Ouesso,CG,72.68,light rain,1.6136,16.0517,ABENIE Hotel
210,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
211,Lata,PT,66.29,clear sky,40.1629,-8.3327,Casa Maquia
212,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
214,Magrath,CA,80.74,clear sky,49.4167,-112.8686,Lindenbaum Bed & Breakfast
215,Tabou,CI,75.33,overcast clouds,4.423,-7.3528,hotêl doufoulougou
217,Muros,ES,71.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
218,Trabzon,TR,68.09,broken clouds,40.9167,39.8333,SANDALS HOTEL
220,Tirano,IT,78.4,clear sky,46.2154,10.1679,Hotel Corona Tirano
223,Sechura,PE,75.76,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
224,Jadu,LY,78.76,clear sky,31.953,12.0261,امياس للصرافة
229,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
230,Djambala,CG,71.85,light rain,-2.5447,14.7533,Hotel Ravin D'or
234,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
236,Lasa,IT,68.77,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
237,Velasco Ibarra,EC,85.06,broken clouds,-1.05,-79.6167,Wilson Mendoza
238,Lamu,KE,74.77,clear sky,-2.2717,40.902,Lamu House
240,Itarema,BR,80.17,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
241,Hobyo,SO,75.67,few clouds,5.3505,48.5268,Iftin hotel hobyo
245,Meulaboh,ID,75.67,overcast clouds,4.1363,96.1285,Kost Pria
248,Sumbe,AO,67.8,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
252,Maun,BW,69.76,clear sky,-19.9833,23.4167,Enviro Villa
253,Sibolga,ID,75.49,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
254,Paranapanema,BR,74.53,clear sky,-23.3886,-48.7228,Hotel Beira Rio
257,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
258,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
259,Norman Wells,CA,71.64,broken clouds,65.282,-126.8329,Heritage Hotel
260,Bajil,YE,85.98,overcast clouds,15.0584,43.2851,فندق حضرموت
261,Honiara,SB,76.19,scattered clouds,-9.4333,159.95,Heritage Park Hotel
262,Tazmalt,DZ,83.3,clear sky,36.3868,4.3989,Hôtel Numédia
263,Norsup,VU,79.7,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
264,Katsuura,JP,76.8,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
267,Lagoa Vermelha,BR,65.89,clear sky,-28.2086,-51.5258,Hotel Kaianã
268,Dhidhdhoo,MV,80.98,overcast clouds,6.8833,73.1,Dhidhoo beach
269,Auki,SB,75.9,overcast clouds,-8.7676,160.7034,Auki Motel
270,Kloulklubed,PW,82.08,broken clouds,7.0419,134.2556,Storyboard Beach Resort
272,Cody,US,89.91,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
276,Asfi,MA,79.38,overcast clouds,32.2994,-9.2372,Hôtel Abda
277,Nauta,PE,76.28,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
278,Tura,IN,74.73,light rain,25.5198,90.2201,Hotel RIKMAN Continental
282,Teguise,ES,73.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
283,Huarmey,PE,67.68,clear sky,-10.0681,-78.1522,Hotel Miramar
284,Misratah,LY,81.05,clear sky,32.3754,15.0925,Almasa Hotel
286,Mana,GF,81.88,clear sky,5.6592,-53.7767,LE SAMANA
288,Inuvik,CA,65.16,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
290,Magole,TZ,65.7,scattered clouds,-6.3667,37.3667,Juma lubelwa
291,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
295,Broska,UA,75.54,overcast clouds,45.3733,28.783,Art-Hotelʹ
297,Balkhash,KZ,75.67,clear sky,46.844,74.9804,Family
298,Minot,US,79.81,clear sky,48.2325,-101.2963,Noble Inn
299,Touros,BR,77.16,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
300,Tucupita,VE,81.12,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
301,Daryapur,IN,77.58,overcast clouds,20.9333,77.3333,Adv Aditya Deshmukh
302,Beipiao,CN,68.5,overcast clouds,41.7919,120.7792,Beipiao Hotel
303,Bemidji,US,83.05,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
305,Jalu,LY,81.7,clear sky,29.0331,21.5482,صاحبة الفخامة
307,Beverungen,DE,87.42,broken clouds,51.6667,9.3667,AKZENT Hotel Stadt Bremen
309,Minggang,CN,70.0,broken clouds,32.4586,114.0486,Yindu Hotel
310,Mbuji-Mayi,CD,81.81,broken clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
312,Atambua,ID,69.96,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
313,Diego De Almagro,CL,70.11,moderate rain,-26.3667,-70.05,hotel luna del desierto
314,Muli,MV,79.34,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
316,Kamaishi,JP,68.77,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
321,Cockburn Town,TC,82.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
322,Ilhabela,BR,69.33,light rain,-23.7781,-45.3581,Ilha Flat Hotel
323,Port Blair,IN,78.6,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
324,Luanda,AO,68.36,clear sky,-8.8368,13.2343,EPIC SANA Luanda
326,Tautira,PF,76.05,light rain,-17.7333,-149.15,Pension Oaoa
327,Santarem,BR,86.47,overcast clouds,-2.4431,-54.7083,Hotel Imperador
328,Tierralta,CO,85.86,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
332,Oussouye,SN,77.65,light rain,12.485,-16.5469,Auberge du Routard
333,Asau,RO,72.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
