City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Awjilah,LY,29.1081,21.2869,81.25,45,0,17.9,clear sky
181,Cairns,AU,-16.9167,145.7667,69.75,85,100,10.36,overcast clouds
182,Nedjo,ET,9.5046,35.5019,56.59,99,100,0.4,light rain
183,Cidreira,BR,-30.1811,-50.2056,62.29,88,0,14.74,clear sky
184,Esmeraldas,BR,-19.7625,-44.3139,77.11,35,8,9.98,clear sky
185,Smithers,CA,54.7804,-127.1743,62.92,59,75,3.44,broken clouds
186,Chuy,UY,-33.6971,-53.4616,59.27,88,0,7.58,clear sky
187,Bergen,NO,60.392,5.328,65.08,96,75,6.91,moderate rain
188,Kailua,US,21.4022,-157.7394,81.14,75,19,8.01,light rain
189,Kankakee,US,41.15,-87.8667,87.3,62,0,17.31,clear sky
190,Baruun-Urt,MN,46.6806,113.2792,66.22,57,25,7.29,scattered clouds
191,Salalah,OM,17.0151,54.0924,76.57,94,81,6.51,broken clouds
192,Kruisfontein,ZA,-34.0033,24.7314,54.88,91,94,3.56,overcast clouds
193,Kahului,US,20.8947,-156.47,80.96,74,46,13.38,light rain
194,Mabaruma,GY,8.2,-59.7833,78.57,95,100,2.37,overcast clouds
195,Inhambane,MZ,-23.865,35.3833,66.18,93,0,3.44,clear sky
196,Katobu,ID,-4.9408,122.5276,74.35,95,11,4.72,few clouds
197,Great Yarmouth,GB,52.6083,1.7305,72.01,89,84,8.61,moderate rain
198,Nikolskoye,RU,59.7035,30.7861,69.87,62,100,10.38,overcast clouds
199,Port-Gentil,GA,-0.7193,8.7815,75.16,88,40,9.22,scattered clouds
200,Gasa,PS,31.5,34.4667,75.88,69,0,6.49,clear sky
201,Jega,NG,12.2175,4.3792,84.63,58,100,5.84,overcast clouds
202,Galveston,US,29.3669,-94.9669,100.09,67,1,7.0,clear sky
203,Zhanakorgan,KZ,43.9098,67.2495,90.05,17,0,8.25,clear sky
204,Poum,NC,-20.2333,164.0167,75.43,86,100,7.36,overcast clouds
205,Lebedyn,UA,50.5852,34.4849,54.88,90,0,12.5,clear sky
206,Esna,EG,25.2934,32.554,93.22,19,0,11.79,clear sky
207,Teberda,RU,43.4456,41.7448,57.27,94,44,4.34,scattered clouds
208,Ouesso,CG,1.6136,16.0517,72.68,93,100,1.97,light rain
209,Saldanha,ZA,-33.0117,17.9442,46.45,62,0,12.68,clear sky
210,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,4,5.95,clear sky
211,Lata,PT,40.1629,-8.3327,66.29,72,0,3.56,clear sky
212,Hilo,US,19.7297,-155.09,81.28,94,100,5.75,light rain
213,Riyadh,SA,24.6877,46.7219,98.74,9,94,9.75,overcast clouds
214,Magrath,CA,49.4167,-112.8686,80.74,53,0,8.05,clear sky
215,Tabou,CI,4.423,-7.3528,75.33,72,99,7.45,overcast clouds
216,Port Hardy,CA,50.6996,-127.4199,59.18,82,40,5.75,scattered clouds
217,Muros,ES,42.7762,-9.0603,71.1,78,3,13.09,clear sky
218,Trabzon,TR,40.9167,39.8333,68.09,64,75,4.61,broken clouds
219,Valparaiso,CL,-33.0393,-71.6273,62.83,51,0,8.05,clear sky
220,Tirano,IT,46.2154,10.1679,78.4,74,0,1.5,clear sky
221,Jenbach,AT,47.4013,11.7406,63.99,94,100,4.7,overcast clouds
222,Qaanaaq,GL,77.484,-69.3632,41.13,81,100,4.34,overcast clouds
223,Sechura,PE,-5.5569,-80.8222,75.76,55,26,13.71,scattered clouds
224,Jadu,LY,31.953,12.0261,78.76,38,0,10.49,clear sky
225,Ostrovnoy,RU,68.0531,39.5131,47.68,96,24,5.08,few clouds
226,Chumikan,RU,54.7183,135.315,51.75,100,100,4.38,light rain
227,Grindavik,IS,63.8424,-22.4338,53.55,87,75,18.41,broken clouds
228,Venado Tuerto,AR,-33.7456,-61.9688,64.76,41,0,11.77,clear sky
229,Vila Velha,BR,-20.3297,-40.2925,76.95,77,0,11.5,clear sky
230,Djambala,CG,-2.5447,14.7533,71.85,73,85,5.32,light rain
231,Ulladulla,AU,-35.35,150.4667,53.91,81,100,5.5,light rain
232,Arkadak,RU,51.9326,43.4978,61.95,66,70,8.93,broken clouds
233,Bluff,NZ,-46.6,168.3333,39.79,65,100,7.16,overcast clouds
234,Iquitos,PE,-3.7481,-73.2472,86.04,66,75,3.44,broken clouds
235,Jalalabad,AF,34.4265,70.4515,94.08,48,0,6.82,clear sky
236,Lasa,IT,46.6166,10.7002,68.77,85,55,3.33,broken clouds
237,Velasco Ibarra,EC,-1.05,-79.6167,85.06,57,63,2.66,broken clouds
238,Lamu,KE,-2.2717,40.902,74.77,80,10,16.6,clear sky
239,Navahrudak,BY,53.6,25.8333,53.47,90,0,6.87,clear sky
240,Itarema,BR,-2.9248,-39.9167,80.17,68,88,14.67,overcast clouds
241,Hobyo,SO,5.3505,48.5268,75.67,80,15,25.93,few clouds
242,Kenai,US,60.5544,-151.2583,57.09,85,75,4.61,broken clouds
